"Sample","gt","family","chrom","n","total","sex","prop"
"600_601a_grnson","AA","600","019211454.1",1,106,"Male",0.00943396226415094
"600_601a_grnson","AA","600","019211456.1",1,131,"Male",0.00763358778625954
"600_601a_grnson","AA","600","019211457.1",1,70,"Male",0.0142857142857143
"600_601a_grnson","AA","600","019211458.1",1,54,"Male",0.0185185185185185
"600_601a_grnson","AA","600","019211460.1",2,129,"Male",0.0155038759689922
"600_601a_grnson","AB","600","019211454.1",105,106,"Male",0.990566037735849
"600_601a_grnson","AB","600","019211455.1",94,94,"Male",1
"600_601a_grnson","AB","600","019211456.1",130,131,"Male",0.99236641221374
"600_601a_grnson","AB","600","019211457.1",69,70,"Male",0.985714285714286
"600_601a_grnson","AB","600","019211458.1",53,54,"Male",0.981481481481482
"600_601a_grnson","AB","600","019211459.1",112,112,"Male",1
"600_601a_grnson","AB","600","019211460.1",127,129,"Male",0.984496124031008
"57_58a_grndat","AA","57","019211454.1",2,2,"Female",1
"57_58a_grndat","AA","57","019211458.1",1,4,"Female",0.25
"57_58a_grndat","AB","57","019211458.1",3,4,"Female",0.75
"57_58b_grnson","AA","57","019211454.1",1,1,"Male",1
"57_58b_grnson","AA","57","019211458.1",1,2,"Male",0.5
"57_58b_grnson","AB","57","019211458.1",1,2,"Male",0.5
"502_503a_grndat","AA","502","019211454.1",1,1,"Female",1
"502_503a_grndat","AA","502","019211459.1",1,1,"Female",1
"502_503b_grnson","AB","502","019211459.1",2,2,"Male",1
"502_503f_grndat","AA","502","019211454.1",3,3,"Female",1
"502_503f_grndat","AA","502","019211460.1",1,1,"Female",1
"502_503f_grndat","AB","502","019211459.1",4,4,"Female",1
"46_47c_grndat","AA","46","019211454.1",1,1,"Female",1
"46_47c_grndat","AA","46","019211457.1",1,1,"Female",1
"46_47c_grndat","AA","46","019211458.1",1,1,"Female",1
"46_47c_grndat","AA","46","019211459.1",1,1,"Female",1
"46_47c_grndat","AA","46","019211460.1",1,1,"Female",1
"46_47d_grnson","AA","46","019211457.1",1,1,"Male",1
"46_47d_grnson","AA","46","019211460.1",1,1,"Male",1
"412_413a_grnson","AA","412","019211454.1",8,8,"Male",1
"412_413a_grnson","AA","412","019211455.1",5,5,"Male",1
"412_413a_grnson","AA","412","019211456.1",6,6,"Male",1
"412_413a_grnson","AA","412","019211457.1",10,10,"Male",1
"412_413a_grnson","AA","412","019211459.1",9,9,"Male",1
"412_413a_grnson","AA","412","019211460.1",6,6,"Male",1
"338_339a_grndat","AA","338","019211454.1",78,480,"Female",0.1625
"338_339a_grndat","AA","338","019211455.1",207,388,"Female",0.533505154639175
"338_339a_grndat","AA","338","019211456.1",144,245,"Female",0.587755102040816
"338_339a_grndat","AA","338","019211457.1",78,219,"Female",0.356164383561644
"338_339a_grndat","AA","338","019211458.1",15,200,"Female",0.075
"338_339a_grndat","AA","338","019211459.1",134,321,"Female",0.417445482866044
"338_339a_grndat","AA","338","019211460.1",235,337,"Female",0.697329376854599
