"Sample","gt","family","chrom","n","total","sex","prop"
"600_601a_grnson","AA","600","019211454.1",48,49,"Male",0.979591836734694
"600_601a_grnson","AA","600","019211455.1",32,32,"Male",1
"600_601a_grnson","AA","600","019211456.1",18,18,"Male",1
"600_601a_grnson","AA","600","019211457.1",33,33,"Male",1
"600_601a_grnson","AA","600","019211460.1",15,15,"Male",1
"600_601a_grnson","AB","600","019211454.1",1,49,"Male",0.0204081632653061
"57_58a_grndat","AA","57","019211457.1",10,13,"Female",0.769230769230769
"57_58a_grndat","AA","57","019211459.1",5,17,"Female",0.294117647058824
"57_58a_grndat","AB","57","019211454.1",8,8,"Female",1
"57_58a_grndat","AB","57","019211455.1",5,5,"Female",1
"57_58a_grndat","AB","57","019211457.1",3,13,"Female",0.230769230769231
"57_58a_grndat","AB","57","019211459.1",12,17,"Female",0.705882352941177
"57_58a_grndat","AB","57","019211460.1",1,1,"Female",1
"57_58b_grnson","AA","57","019211454.1",4,4,"Male",1
"57_58b_grnson","AA","57","019211457.1",6,6,"Male",1
"57_58b_grnson","AA","57","019211459.1",5,5,"Male",1
"57_58b_grnson","AA","57","019211460.1",1,1,"Male",1
"502_503a_grndat","AA","502","019211458.1",4,5,"Female",0.8
"502_503a_grndat","AB","502","019211457.1",3,3,"Female",1
"502_503a_grndat","AB","502","019211458.1",1,5,"Female",0.2
"502_503a_grndat","AB","502","019211460.1",1,1,"Female",1
"502_503b_grnson","AA","502","019211456.1",1,1,"Male",1
"502_503b_grnson","AA","502","019211457.1",2,2,"Male",1
"502_503b_grnson","AA","502","019211458.1",2,2,"Male",1
"502_503f_grndat","AA","502","019211455.1",1,1,"Female",1
"502_503f_grndat","AA","502","019211458.1",6,9,"Female",0.666666666666667
"502_503f_grndat","AB","502","019211456.1",1,1,"Female",1
"502_503f_grndat","AB","502","019211457.1",5,5,"Female",1
"502_503f_grndat","AB","502","019211458.1",3,9,"Female",0.333333333333333
"502_503f_grndat","AB","502","019211460.1",1,1,"Female",1
"46_47c_grndat","AB","46","019211455.1",1,1,"Female",1
"412_413a_grnson","AB","412","019211454.1",1,1,"Male",1
"338_339a_grndat","AA","338","019211454.1",32,49,"Female",0.653061224489796
"338_339a_grndat","AA","338","019211456.1",5,5,"Female",1
"338_339a_grndat","AA","338","019211457.1",2,5,"Female",0.4
"338_339a_grndat","AA","338","019211458.1",3,11,"Female",0.272727272727273
"338_339a_grndat","AA","338","019211459.1",15,131,"Female",0.114503816793893
"338_339a_grndat","AA","338","019211460.1",11,41,"Female",0.268292682926829
"338_339a_grndat","AB","338","019211454.1",17,49,"Female",0.346938775510204
"338_339a_grndat","AB","338","019211455.1",4,4,"Female",1
"338_339a_grndat","AB","338","019211457.1",3,5,"Female",0.6
"338_339a_grndat","AB","338","019211458.1",8,11,"Female",0.727272727272727
"338_339a_grndat","AB","338","019211459.1",116,131,"Female",0.885496183206107
"338_339a_grndat","AB","338","019211460.1",30,41,"Female",0.731707317073171
"338_339b_grnson","AA","338","019211454.1",19,19,"Male",1
"338_339b_grnson","AA","338","019211455.1",1,1,"Male",1
"338_339b_grnson","AA","338","019211456.1",1,1,"Male",1
"338_339b_grnson","AA","338","019211457.1",2,4,"Male",0.5
"338_339b_grnson","AA","338","019211458.1",3,3,"Male",1
"338_339b_grnson","AA","338","019211459.1",46,46,"Male",1
"338_339b_grnson","AA","338","019211460.1",15,15,"Male",1
"338_339b_grnson","AB","338","019211457.1",2,4,"Male",0.5
"476_477a_grndat","AA","476","019211454.1",19,40,"Female",0.475
"476_477a_grndat","AA","476","019211455.1",27,27,"Female",1
"476_477a_grndat","AA","476","019211456.1",3,16,"Female",0.1875
"476_477a_grndat","AA","476","019211457.1",3,8,"Female",0.375
"476_477a_grndat","AA","476","019211458.1",17,17,"Female",1
"476_477a_grndat","AA","476","019211460.1",91,97,"Female",0.938144329896907
"476_477a_grndat","AB","476","019211454.1",20,40,"Female",0.5
"476_477a_grndat","AB","476","019211456.1",13,16,"Female",0.8125
"476_477a_grndat","AB","476","019211457.1",5,8,"Female",0.625
"476_477a_grndat","AB","476","019211460.1",6,97,"Female",0.0618556701030928
"476_477a_grndat","BB","476","019211454.1",1,40,"Female",0.025
"476_477a_grndat","BB","476","019211459.1",1,1,"Female",1
