"generation","model","heterozygosity_loss","effective_ne","panel"
2,"Haplo-diploidy",-0.25,2,"a"
3,"Haplo-diploidy",-0.160416666666667,3.11688311688311,"a"
4,"Haplo-diploidy",-0.169715609491315,2.94610496641198,"a"
5,"Haplo-diploidy",-0.127322204804755,3.92704478191165,"a"
6,"Haplo-diploidy",-0.0825638280243728,6.05592075808792,"a"
7,"Haplo-diploidy",-0.0555084330460029,9.00764032711249,"a"
8,"Haplo-diploidy",-0.0493085129321699,10.1402368529713,"a"
9,"Haplo-diploidy",-0.0565004686018953,8.84948412592861,"a"
10,"Haplo-diploidy",-0.0574785463437871,8.69889779413402,"a"
11,"Haplo-diploidy",-0.0585769710996263,8.53577763776163,"a"
12,"Haplo-diploidy",-0.0588001197309622,8.50338404560623,"a"
13,"Haplo-diploidy",-0.0590208897168,8.47157679931886,"a"
14,"Haplo-diploidy",-0.0590604725124229,8.46589908156982,"a"
15,"Haplo-diploidy",-0.0591069947552719,8.45923569740286,"a"
16,"Haplo-diploidy",-0.059113415658971,8.45831685457886,"a"
17,"Haplo-diploidy",-0.0591233662595985,8.45689330009735,"a"
18,"Haplo-diploidy",-0.0591242809251595,8.45676247010781,"a"
19,"Haplo-diploidy",-0.0591264338468738,8.45645454104174,"a"
20,"Haplo-diploidy",-0.0591265266879084,8.45644126263638,"a"
21,"Haplo-diploidy",-0.0591269978680834,8.45637387366658,"a"
22,"Haplo-diploidy",-0.0591269944560826,8.45637436165273,"a"
23,"Haplo-diploidy",-0.0591270987832589,8.45635944075051,"a"
24,"Haplo-diploidy",-0.0591270927294687,8.45636030656386,"a"
25,"Haplo-diploidy",-0.0591271160984261,8.45635696433551,"a"
26,"Haplo-diploidy",-0.0591271135731514,8.45635732550019,"a"
27,"Haplo-diploidy",-0.0591271188671197,8.45635656835712,"a"
28,"Haplo-diploidy",-0.0591271180399883,8.45635668665341,"a"
29,"Haplo-diploidy",-0.0591271192522325,8.45635651327832,"a"
30,"Haplo-diploidy",-0.0591271190078164,8.45635654823469,"a"
31,"Haplo-diploidy",-0.059127119288198,8.45635650813453,"a"
32,"Haplo-diploidy",-0.0591271192199271,8.45635651789863,"a"
