"Chr" "POS" "LG" "sex" "cM"
"1" "NW_019211454.1" 12895348 "1" "male_position" 0
"2" "NW_019211454.1" 12895348 "1" "female_position" 0
"3" "NW_019211454.1" 39893347 "1" "male_position" 0
"4" "NW_019211454.1" 39893347 "1" "female_position" 12.095
"5" "NW_019211454.1" 2018179 "1" "male_position" 0
"6" "NW_019211454.1" 2018179 "1" "female_position" 14.639
"7" "NW_019211454.1" 56860132 "1" "male_position" 0
"8" "NW_019211454.1" 56860132 "1" "female_position" 17.184
"9" "NW_019211454.1" 47786354 "1" "male_position" 0
"10" "NW_019211454.1" 47786354 "1" "female_position" 19.729
"11" "NW_019211454.1" 47310931 "1" "male_position" 0
"12" "NW_019211454.1" 47310931 "1" "female_position" 22.273
"13" "NW_019211454.1" 33245520 "1" "male_position" 0
"14" "NW_019211454.1" 33245520 "1" "female_position" 25.668
"15" "NW_019211454.1" 33239743 "1" "male_position" 0
"16" "NW_019211454.1" 33239743 "1" "female_position" 28.213
"17" "NW_019211454.1" 72368586 "1" "male_position" 0
"18" "NW_019211454.1" 72368586 "1" "female_position" 32.46
"19" "NW_019211454.1" 52302060 "1" "male_position" 0
"20" "NW_019211454.1" 52302060 "1" "female_position" 36.708
"21" "NW_019211454.1" 31279277 "1" "male_position" 0
"22" "NW_019211454.1" 31279277 "1" "female_position" 40.955
"23" "NW_019211454.1" 63166787 "1" "male_position" 0
"24" "NW_019211454.1" 63166787 "1" "female_position" 43.5
"25" "NW_019211454.1" 67642464 "1" "male_position" 0
"26" "NW_019211454.1" 67642464 "1" "female_position" 47.747
"27" "NW_019211454.1" 65480118 "1" "male_position" 0
"28" "NW_019211454.1" 65480118 "1" "female_position" 54.569
"29" "NW_019211454.1" 32284748 "1" "male_position" 0
"30" "NW_019211454.1" 32284748 "1" "female_position" 63.126
"31" "NW_019211454.1" 32095649 "1" "male_position" 0
"32" "NW_019211454.1" 32095649 "1" "female_position" 65.671
"33" "NW_019211454.1" 34422387 "1" "male_position" 0
"34" "NW_019211454.1" 34422387 "1" "female_position" 77.766
"35" "NW_019211454.1" 72602347 "1" "male_position" 0
"36" "NW_019211454.1" 72602347 "1" "female_position" 82.013
"37" "NW_019211454.1" 56129168 "1" "male_position" 0
"38" "NW_019211454.1" 56129168 "1" "female_position" 88.835
"39" "NW_019211454.1" 24701948 "1" "male_position" 0
"40" "NW_019211454.1" 24701948 "1" "female_position" 93.937
"41" "NW_019211454.1" 30860688 "1" "male_position" 0
"42" "NW_019211454.1" 30860688 "1" "female_position" 99.897
"43" "NW_019211454.1" 30812477 "1" "male_position" 0
"44" "NW_019211454.1" 30812477 "1" "female_position" 103.292
"45" "NW_019211454.1" 30800532 "1" "male_position" 0
"46" "NW_019211454.1" 30800532 "1" "female_position" 104.14
"47" "NW_019211454.1" 29312786 "1" "male_position" 0
"48" "NW_019211454.1" 29312786 "1" "female_position" 118.967
"49" "NW_019211454.1" 26166398 "1" "male_position" 0
"50" "NW_019211454.1" 26166398 "1" "female_position" 129.28
"51" "NW_019211454.1" 6271339 "1" "male_position" 0
"52" "NW_019211454.1" 6271339 "1" "female_position" 135.24
"53" "NW_019211454.1" 69241359 "1" "male_position" 0
"54" "NW_019211454.1" 69241359 "1" "female_position" 141.2
"55" "NW_019211454.1" 53767 "1" "male_position" 0
"56" "NW_019211454.1" 53767 "1" "female_position" 156.027
"57" "NW_019211454.1" 521746 "1" "male_position" 0
"58" "NW_019211454.1" 521746 "1" "female_position" 159.422
"59" "NW_019211454.1" 11627115 "1" "male_position" 0
"60" "NW_019211454.1" 11627115 "1" "female_position" 174.249
"61" "NW_019211454.1" 29784270 "1" "male_position" 0
"62" "NW_019211454.1" 29784270 "1" "female_position" 183.681
"63" "NW_019211454.1" 10150460 "1" "male_position" 0
"64" "NW_019211454.1" 10150460 "1" "female_position" 187.076
"65" "NW_019211454.1" 6221680 "1" "male_position" 0
"66" "NW_019211454.1" 6221680 "1" "female_position" 193.898
"67" "NW_019211454.1" 21969918 "1" "male_position" 0
"68" "NW_019211454.1" 21969918 "1" "female_position" 202.455
"69" "NW_019211454.1" 59981004 "1" "male_position" 0
"70" "NW_019211454.1" 59981004 "1" "female_position" 208.415
