"Chr" "POS" "LG" "sex" "cM"
"1" "NW_019211454.1" 12895348 "1" "male_position" 0
"2" "NW_019211454.1" 12895348 "1" "female_position" 0
"3" "NW_019211454.1" 24923758 "1" "male_position" 17.647
"4" "NW_019211454.1" 24923758 "1" "female_position" 0
"5" "NW_019211454.1" 24919521 "1" "male_position" 17.647
"6" "NW_019211454.1" 24919521 "1" "female_position" 0
"7" "NW_019211454.1" 24916335 "1" "male_position" 17.647
"8" "NW_019211454.1" 24916335 "1" "female_position" 0
"9" "NW_019211454.1" 24916036 "1" "male_position" 18.495
"10" "NW_019211454.1" 24916036 "1" "female_position" 0
"11" "NW_019211454.1" 32095649 "1" "male_position" 52.626
"12" "NW_019211454.1" 32095649 "1" "female_position" 0
"13" "NW_019211454.1" 32284748 "1" "male_position" 54.321
"14" "NW_019211454.1" 32284748 "1" "female_position" 0
"15" "NW_019211454.1" 34422387 "1" "male_position" 70.077
"16" "NW_019211454.1" 34422387 "1" "female_position" 0
"17" "NW_019211454.1" 30860688 "1" "male_position" 81.278
"18" "NW_019211454.1" 30860688 "1" "female_position" 0
"19" "NW_019211454.1" 30800532 "1" "male_position" 85.525
"20" "NW_019211454.1" 30800532 "1" "female_position" 0
"21" "NW_019211454.1" 30812477 "1" "male_position" 87.221
"22" "NW_019211454.1" 30812477 "1" "female_position" 0
"23" "NW_019211454.1" 24902934 "1" "male_position" 104.868
"24" "NW_019211454.1" 24902934 "1" "female_position" 0
"25" "NW_019211454.1" 16955562 "1" "male_position" 121.564
"26" "NW_019211454.1" 16955562 "1" "female_position" 0
"27" "NW_019211454.1" 16978900 "1" "male_position" 124.108
"28" "NW_019211454.1" 16978900 "1" "female_position" 0
"29" "NW_019211454.1" 15270261 "1" "male_position" 130.069
"30" "NW_019211454.1" 15270261 "1" "female_position" 0
"31" "NW_019211454.1" 14865144 "1" "male_position" 137.756
"32" "NW_019211454.1" 14865144 "1" "female_position" 0
"33" "NW_019211454.1" 76792108 "1" "male_position" 137.756
"34" "NW_019211454.1" 76792108 "1" "female_position" 0
"35" "NW_019211454.1" 415394 "1" "male_position" 137.756
"36" "NW_019211454.1" 415394 "1" "female_position" 0
"37" "NW_019211454.1" 18582777 "1" "male_position" 137.756
"38" "NW_019211454.1" 18582777 "1" "female_position" 0
"39" "NW_019211454.1" 52302060 "1" "male_position" 137.756
"40" "NW_019211454.1" 52302060 "1" "female_position" 0
"41" "NW_019211454.1" 72536822 "1" "male_position" 137.756
"42" "NW_019211454.1" 72536822 "1" "female_position" 0
"43" "NW_019211454.1" 31279277 "1" "male_position" 138.603
"44" "NW_019211454.1" 31279277 "1" "female_position" 0
"45" "NW_019211454.1" 64850267 "1" "male_position" 138.603
"46" "NW_019211454.1" 64850267 "1" "female_position" 0
"47" "NW_019211454.1" 10150460 "1" "male_position" 138.603
"48" "NW_019211454.1" 10150460 "1" "female_position" 0
"49" "NW_019211454.1" 65836848 "1" "male_position" 139.451
"50" "NW_019211454.1" 65836848 "1" "female_position" 0
"51" "NW_019211454.1" 57664112 "1" "male_position" 140.298
"52" "NW_019211454.1" 57664112 "1" "female_position" 0
"53" "NW_019211454.1" 68961481 "1" "male_position" 140.298
"54" "NW_019211454.1" 68961481 "1" "female_position" 0
"55" "NW_019211454.1" 73422532 "1" "male_position" 140.298
"56" "NW_019211454.1" 73422532 "1" "female_position" 0
"57" "NW_019211454.1" 49502730 "1" "male_position" 140.298
"58" "NW_019211454.1" 49502730 "1" "female_position" 0
"59" "NW_019211454.1" 69404882 "1" "male_position" 140.298
"60" "NW_019211454.1" 69404882 "1" "female_position" 0
"61" "NW_019211454.1" 5509933 "1" "male_position" 141.146
"62" "NW_019211454.1" 5509933 "1" "female_position" 0
"63" "NW_019211454.1" 47786354 "1" "male_position" 141.146
"64" "NW_019211454.1" 47786354 "1" "female_position" 0
"65" "NW_019211454.1" 52836467 "1" "male_position" 141.146
"66" "NW_019211454.1" 52836467 "1" "female_position" 0
"67" "NW_019211454.1" 73745135 "1" "male_position" 141.146
"68" "NW_019211454.1" 73745135 "1" "female_position" 0
"69" "NW_019211454.1" 20415375 "1" "male_position" 141.146
"70" "NW_019211454.1" 20415375 "1" "female_position" 0
