"Chr" "POS" "LG" "sex" "cM"
"1" "NW_019211454.1" 32095649 "1" "male_position" 0
"2" "NW_019211454.1" 32095649 "1" "female_position" 0
"3" "NW_019211454.1" 57664112 "1" "male_position" 23.654
"4" "NW_019211454.1" 57664112 "1" "female_position" 10.313
"5" "NW_019211454.1" 58461103 "1" "male_position" 23.654
"6" "NW_019211454.1" 58461103 "1" "female_position" 21.514
"7" "NW_019211454.1" 20712376 "1" "male_position" 23.654
"8" "NW_019211454.1" 20712376 "1" "female_position" 31.827
"9" "NW_019211454.1" 34422387 "1" "male_position" 24.501
"10" "NW_019211454.1" 34422387 "1" "female_position" 42.141
"11" "NW_019211454.1" 21969918 "1" "male_position" 37.498
"12" "NW_019211454.1" 21969918 "1" "female_position" 53.341
"13" "NW_019211454.1" 6221680 "1" "male_position" 45.185
"14" "NW_019211454.1" 6221680 "1" "female_position" 53.341
"15" "NW_019211454.1" 26102668 "1" "male_position" 58.182
"16" "NW_019211454.1" 26102668 "1" "female_position" 53.341
"17" "NW_019211454.1" 24911054 "1" "male_position" 68.495
"18" "NW_019211454.1" 24911054 "1" "female_position" 53.341
"19" "NW_019211454.1" 48480853 "1" "male_position" 68.495
"20" "NW_019211454.1" 48480853 "1" "female_position" 62.774
"21" "NW_019211454.1" 18906639 "1" "male_position" 79.696
"22" "NW_019211454.1" 18906639 "1" "female_position" 62.774
"23" "NW_019211454.1" 67949156 "1" "male_position" 89.128
"24" "NW_019211454.1" 67949156 "1" "female_position" 62.774
"25" "NW_019211454.1" 41033969 "1" "male_position" 99.442
"26" "NW_019211454.1" 41033969 "1" "female_position" 62.774
"27" "NW_019211454.1" 21622773 "1" "male_position" 99.442
"28" "NW_019211454.1" 21622773 "1" "female_position" 71.331
"29" "NW_019211454.1" 6167320 "1" "male_position" 113.349
"30" "NW_019211454.1" 6167320 "1" "female_position" 71.331
"31" "NW_019211454.1" 24916036 "1" "male_position" 125.444
"32" "NW_019211454.1" 24916036 "1" "female_position" 77.291
"33" "NW_019211454.1" 51129121 "1" "male_position" 125.444
"34" "NW_019211454.1" 51129121 "1" "female_position" 84.978
"35" "NW_019211454.1" 69404882 "1" "male_position" 125.444
"36" "NW_019211454.1" 69404882 "1" "female_position" 92.665
"37" "NW_019211454.1" 68961481 "1" "male_position" 125.444
"38" "NW_019211454.1" 68961481 "1" "female_position" 102.978
"39" "NW_019211454.1" 60445723 "1" "male_position" 125.444
"40" "NW_019211454.1" 60445723 "1" "female_position" 113.292
"41" "NW_019211454.1" 26166398 "1" "male_position" 125.444
"42" "NW_019211454.1" 26166398 "1" "female_position" 121.849
"43" "NW_019211454.1" 20415375 "1" "male_position" 125.444
"44" "NW_019211454.1" 20415375 "1" "female_position" 131.281
"45" "NW_019211455.1" 56308420 "2" "male_position" 0
